"filename", "language", "pip requirements", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Time Zones\README.md", "Markdown", 0, 0, 34, 0, 14, 48
"c:\Users\davey\Desktop\Projects\Time Zones\app_window.py", "Python", 0, 453, 0, 1, 51, 505
"c:\Users\davey\Desktop\Projects\Time Zones\main.py", "Python", 0, 51, 0, 1, 16, 68
"c:\Users\davey\Desktop\Projects\Time Zones\requirements.txt", "pip requirements", 2, 0, 0, 0, 1, 3
"c:\Users\davey\Desktop\Projects\Time Zones\single_instance.py", "Python", 0, 89, 0, 2, 17, 108
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_single_instance.py", "Python", 0, 42, 0, 0, 9, 51
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_startup.py", "Python", 0, 21, 0, 0, 7, 28
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_data.py", "Python", 0, 59, 0, 0, 12, 71
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_ui_smoke.py", "Python", 0, 50, 0, 0, 9, 59
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_data.py", "Python", 0, 166, 0, 8, 28, 202
"Total", "-", 2, 931, 34, 12, 164, 1143
