"filename", "language", "Markdown", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Time Zones\README.md", "Markdown", 41, 0, 0, 0, 17, 58
"c:\Users\davey\Desktop\Projects\Time Zones\app_window.py", "Python", 0, 961, 0, 14, 105, 1080
"c:\Users\davey\Desktop\Projects\Time Zones\main.py", "Python", 0, 51, 0, 1, 16, 68
"c:\Users\davey\Desktop\Projects\Time Zones\requirements.txt", "pip requirements", 0, 0, 2, 0, 1, 3
"c:\Users\davey\Desktop\Projects\Time Zones\single_instance.py", "Python", 0, 89, 0, 2, 17, 108
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_single_instance.py", "Python", 0, 42, 0, 0, 9, 51
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_startup.py", "Python", 0, 21, 0, 0, 7, 28
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_config.py", "Python", 0, 50, 0, 0, 11, 61
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_data.py", "Python", 0, 94, 0, 0, 15, 109
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_ui_smoke.py", "Python", 0, 498, 0, 0, 33, 531
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_config.py", "Python", 0, 73, 0, 1, 21, 95
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_data.py", "Python", 0, 338, 0, 10, 40, 388
"Total", "-", 41, 2217, 2, 28, 292, 2580
