"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Time Zones\README.md", "Markdown", 0, 52, 0, 0, 17, 69
"c:\Users\davey\Desktop\Projects\Time Zones\app_style.py", "Python", 225, 0, 0, 1, 2, 228
"c:\Users\davey\Desktop\Projects\Time Zones\app_window.py", "Python", 889, 0, 0, 16, 115, 1020
"c:\Users\davey\Desktop\Projects\Time Zones\main.py", "Python", 51, 0, 0, 1, 16, 68
"c:\Users\davey\Desktop\Projects\Time Zones\requirements.txt", "pip requirements", 0, 0, 2, 0, 1, 3
"c:\Users\davey\Desktop\Projects\Time Zones\single_instance.py", "Python", 89, 0, 0, 2, 17, 108
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_single_instance.py", "Python", 42, 0, 0, 0, 9, 51
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_startup.py", "Python", 21, 0, 0, 0, 7, 28
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_config.py", "Python", 72, 0, 0, 0, 12, 84
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_data.py", "Python", 326, 0, 0, 0, 25, 351
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_ui_smoke.py", "Python", 1044, 0, 0, 0, 65, 1109
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_config.py", "Python", 94, 0, 0, 1, 25, 120
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_data.py", "Python", 493, 0, 0, 15, 41, 549
"Total", "-", 3346, 52, 2, 36, 352, 3788
