"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Time Zones\README.md", "Markdown", 0, 3, 0, 0, 3
"c:\Users\davey\Desktop\Projects\Time Zones\app_style.py", "Python", -10, 0, 0, 0, -10
"c:\Users\davey\Desktop\Projects\Time Zones\app_window.py", "Python", 29, 0, -1, 2, 30
"c:\Users\davey\Desktop\Projects\Time Zones\main.py", "Python", 0, 0, 0, -1, -1
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_config.py", "Python", -14, 0, 0, -2, -16
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_data.py", "Python", 36, 0, 0, 4, 40
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_ui_smoke.py", "Python", -26, 0, 0, -5, -31
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_config.py", "Python", -17, 0, 0, -4, -21
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_data.py", "Python", 69, 0, 1, 15, 85
"Total", "-", 67, 3, 0, 9, 79
